seed,t,ready,crane_ok,eta_on_time,weather_safe,scenario,queue_state,weather_regime,disruption_family,vessel_class,operating_mode,time_bucket,berth_slot,eta_bin,prop,value,observer,situation,credibility,timestamp,provenance
0,0,true,true,true,true,authority_conflict,normal,clear,none,feeder,nominal,day,slot-A,on-window,ready,true,harbor_master,berth-admission/current,1.0,0,wide-export:harbor_master_ready
0,0,true,true,true,true,authority_conflict,normal,clear,none,feeder,nominal,day,slot-A,on-window,ready,false,strategic_plan,berth-admission/planning,1.0,0,wide-export:strategic_plan_ready
0,0,true,true,true,true,authority_conflict,normal,clear,none,feeder,nominal,day,slot-A,on-window,craneOK,true,crane_maintenance,berth-admission/current,1.0,0,wide-export:crane_maintenance_crane_ok
0,0,true,true,true,true,authority_conflict,normal,clear,none,feeder,nominal,day,slot-A,on-window,etaOnTime,true,ais_feed,berth-admission/current,1.0,0,wide-export:ais_feed_eta_on_time
0,0,true,true,true,true,authority_conflict,normal,clear,none,feeder,nominal,day,slot-A,on-window,etaOnTime,true,carrier_schedule,berth-admission/planning,1.0,0,wide-export:carrier_schedule_eta_on_time
0,0,true,true,true,true,authority_conflict,normal,clear,none,feeder,nominal,day,slot-A,on-window,weatherSafe,true,port_safety,berth-admission/current,1.0,0,wide-export:port_safety_weather_safe
0,1,false,true,true,true,authority_conflict,normal,clear,none,feeder,nominal,day,slot-A,on-window,ready,false,harbor_master,berth-admission/current,1.0,1,wide-export:harbor_master_ready
0,1,false,true,true,true,authority_conflict,normal,clear,none,feeder,nominal,day,slot-A,on-window,ready,true,strategic_plan,berth-admission/planning,1.0,1,wide-export:strategic_plan_ready
0,1,false,true,true,true,authority_conflict,normal,clear,none,feeder,nominal,day,slot-A,on-window,craneOK,true,crane_maintenance,berth-admission/current,1.0,1,wide-export:crane_maintenance_crane_ok
0,1,false,true,true,true,authority_conflict,normal,clear,none,feeder,nominal,day,slot-A,on-window,etaOnTime,true,ais_feed,berth-admission/current,1.0,1,wide-export:ais_feed_eta_on_time
0,1,false,true,true,true,authority_conflict,normal,clear,none,feeder,nominal,day,slot-A,on-window,etaOnTime,true,carrier_schedule,berth-admission/planning,1.0,1,wide-export:carrier_schedule_eta_on_time
0,1,false,true,true,true,authority_conflict,normal,clear,none,feeder,nominal,day,slot-A,on-window,weatherSafe,true,port_safety,berth-admission/current,1.0,1,wide-export:port_safety_weather_safe
1,0,true,true,false,true,freshness_conflict,normal,clear,eta_delay,feeder,nominal,day,slot-A,late,ready,true,harbor_master,berth-admission/current,1.0,0,wide-export:harbor_master_ready
1,0,true,true,false,true,freshness_conflict,normal,clear,eta_delay,feeder,nominal,day,slot-A,late,ready,true,strategic_plan,berth-admission/planning,1.0,0,wide-export:strategic_plan_ready
1,0,true,true,false,true,freshness_conflict,normal,clear,eta_delay,feeder,nominal,day,slot-A,late,craneOK,true,crane_maintenance,berth-admission/current,1.0,0,wide-export:crane_maintenance_crane_ok
1,0,true,true,false,true,freshness_conflict,normal,clear,eta_delay,feeder,nominal,day,slot-A,late,etaOnTime,false,ais_feed,berth-admission/current,1.0,0,wide-export:ais_feed_eta_on_time
1,0,true,true,false,true,freshness_conflict,normal,clear,eta_delay,feeder,nominal,day,slot-A,late,etaOnTime,true,carrier_schedule,berth-admission/planning,1.0,0,wide-export:carrier_schedule_eta_on_time
1,0,true,true,false,true,freshness_conflict,normal,clear,eta_delay,feeder,nominal,day,slot-A,late,weatherSafe,true,port_safety,berth-admission/current,1.0,0,wide-export:port_safety_weather_safe
1,1,true,true,true,false,human_override,normal,squall,weather,feeder,nominal,day,slot-A,on-window,ready,true,harbor_master,berth-admission/current,1.0,1,wide-export:harbor_master_ready
1,1,true,true,true,false,human_override,normal,squall,weather,feeder,nominal,day,slot-A,on-window,ready,true,strategic_plan,berth-admission/planning,1.0,1,wide-export:strategic_plan_ready
1,1,true,true,true,false,human_override,normal,squall,weather,feeder,nominal,day,slot-A,on-window,craneOK,true,crane_maintenance,berth-admission/current,1.0,1,wide-export:crane_maintenance_crane_ok
1,1,true,true,true,false,human_override,normal,squall,weather,feeder,nominal,day,slot-A,on-window,etaOnTime,true,ais_feed,berth-admission/current,1.0,1,wide-export:ais_feed_eta_on_time
1,1,true,true,true,false,human_override,normal,squall,weather,feeder,nominal,day,slot-A,on-window,etaOnTime,true,carrier_schedule,berth-admission/planning,1.0,1,wide-export:carrier_schedule_eta_on_time
1,1,true,true,true,false,human_override,normal,squall,weather,feeder,nominal,day,slot-A,on-window,weatherSafe,false,port_safety,berth-admission/current,1.0,1,wide-export:port_safety_weather_safe
1,1,true,true,true,false,human_override,normal,squall,weather,feeder,nominal,day,slot-A,on-window,weatherSafe,false,human_dispatcher,berth-admission/current,1.0,1,wide-export:human_dispatcher_weather_safe
