condition,metric,seeds,mean_delta_vs_provenance_preserving,ci95_low,ci95_high
benign_agreement,regret,4,0.0,0.0,0.0
benign_agreement,safety_violation,4,0.0,0.0,0.0
benign_agreement,waiting_cost,4,0.0,0.0,0.0
benign_agreement,intervention_cost,4,-0.565625,-0.6251142759943618,-0.5061357240056383
benign_agreement,false_certification,4,0.0,0.0,0.0
labels_without_gating,regret,4,0.565625,0.5061357240056383,0.6251142759943618
labels_without_gating,safety_violation,4,0.565625,0.5061357240056383,0.6251142759943618
labels_without_gating,waiting_cost,4,0.0,0.0,0.0
labels_without_gating,intervention_cost,4,-0.565625,-0.6251142759943618,-0.5061357240056383
labels_without_gating,false_certification,4,0.0,0.0,0.0
oracle_visible_state,regret,4,0.0,0.0,0.0
oracle_visible_state,safety_violation,4,0.0,0.0,0.0
oracle_visible_state,waiting_cost,4,0.0,0.0,0.0
oracle_visible_state,intervention_cost,4,-0.565625,-0.6251142759943618,-0.5061357240056383
oracle_visible_state,false_certification,4,0.0,0.0,0.0
provenance_erased,regret,4,0.434375,0.37488572400563835,0.49386427599436167
provenance_erased,safety_violation,4,0.0,0.0,0.0
provenance_erased,waiting_cost,4,0.434375,0.37488572400563835,0.49386427599436167
provenance_erased,intervention_cost,4,0.434375,0.37488572400563835,0.49386427599436167
provenance_erased,false_certification,4,0.0,0.0,0.0
random_label_placebo,regret,4,0.3625,0.3166646970120192,0.40833530298798076
random_label_placebo,safety_violation,4,0.184375,0.12659186556615332,0.2421581344338467
random_label_placebo,waiting_cost,4,0.178125,0.14439113039787263,0.21185886960212738
random_label_placebo,intervention_cost,4,-0.0062500000000000056,-0.08903196764191265,0.07653196764191264
random_label_placebo,false_certification,4,0.184375,0.12659186556615332,0.2421581344338467
