condition,seed,t,scenario,ready,crane_ok,eta_on_time,weather_safe,action,reason,certified,gate_used,contradiction_count,reward,regret,safety_violation,waiting_cost,idling_emission_proxy,intervention_cost,false_certification,service_delay_proxy
provenance_preserving,0,0,authority_conflict,True,True,True,True,go,dominant-support-certificate,1,1,1,1.0,0.0,0,0.0,0.0,0.0,0,0.0
provenance_erased,0,0,authority_conflict,True,True,True,True,hold,uncertified-dominance-failed:ready;craneOK;etaOnTime;weatherSafe,0,1,1,0.0,1.0,0,1.0,1.0,1.0,0,1.0
random_label_placebo,0,0,authority_conflict,True,True,True,True,go,dominant-support-certificate,1,1,1,1.0,0.0,0,0.0,0.0,0.0,0,0.0
labels_without_gating,0,0,authority_conflict,True,True,True,True,go,ungated-base-proposal,0,0,1,1.0,0.0,0,0.0,0.0,0.0,0,0.0
oracle_visible_state,0,0,authority_conflict,True,True,True,True,go,oracle-visible-state,1,0,1,1.0,0.0,0,0.0,0.0,0.0,0,0.0
benign_agreement,0,0,authority_conflict,True,True,True,True,go,dominant-support-certificate,1,1,0,1.0,0.0,0,0.0,0.0,0.0,0,0.0
provenance_preserving,0,1,authority_conflict,False,True,True,True,hold,uncertified-dominance-failed:ready,0,1,1,1.0,0.0,0,0.0,0.0,1.0,0,0.0
provenance_erased,0,1,authority_conflict,False,True,True,True,hold,uncertified-dominance-failed:ready;craneOK;etaOnTime;weatherSafe,0,1,1,1.0,0.0,0,0.0,0.0,1.0,0,0.0
random_label_placebo,0,1,authority_conflict,False,True,True,True,go,dominant-support-certificate,1,1,1,0.0,1.0,1,0.0,0.0,0.0,1,0.0
labels_without_gating,0,1,authority_conflict,False,True,True,True,go,ungated-base-proposal,0,0,1,0.0,1.0,1,0.0,0.0,0.0,0,0.0
oracle_visible_state,0,1,authority_conflict,False,True,True,True,hold,oracle-visible-state,1,0,1,1.0,0.0,0,0.0,0.0,0.0,0,0.0
benign_agreement,0,1,authority_conflict,False,True,True,True,hold,base-proposal-hold,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0,0.0
provenance_preserving,1,0,freshness_conflict,True,True,False,True,hold,uncertified-dominance-failed:etaOnTime,0,1,1,1.0,0.0,0,0.0,0.0,1.0,0,0.0
provenance_erased,1,0,freshness_conflict,True,True,False,True,hold,uncertified-dominance-failed:ready;craneOK;etaOnTime;weatherSafe,0,1,1,1.0,0.0,0,0.0,0.0,1.0,0,0.0
random_label_placebo,1,0,freshness_conflict,True,True,False,True,go,dominant-support-certificate,1,1,1,0.0,1.0,1,0.0,0.0,0.0,1,0.0
labels_without_gating,1,0,freshness_conflict,True,True,False,True,go,ungated-base-proposal,0,0,1,0.0,1.0,1,0.0,0.0,0.0,0,0.0
oracle_visible_state,1,0,freshness_conflict,True,True,False,True,hold,oracle-visible-state,1,0,1,1.0,0.0,0,0.0,0.0,0.0,0,0.0
benign_agreement,1,0,freshness_conflict,True,True,False,True,hold,base-proposal-hold,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0,0.0
provenance_preserving,1,1,human_override,True,True,True,False,hold,base-proposal-hold,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0,0.0
provenance_erased,1,1,human_override,True,True,True,False,hold,base-proposal-hold,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0,0.0
random_label_placebo,1,1,human_override,True,True,True,False,hold,base-proposal-hold,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0,0.0
labels_without_gating,1,1,human_override,True,True,True,False,hold,base-proposal-hold,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0,0.0
oracle_visible_state,1,1,human_override,True,True,True,False,hold,oracle-visible-state,1,0,0,1.0,0.0,0,0.0,0.0,0.0,0,0.0
benign_agreement,1,1,human_override,True,True,True,False,hold,base-proposal-hold,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0,0.0
