condition,metric,seeds,mean_delta_vs_provenance_preserving,ci95_low,ci95_high
benign_agreement,regret,2,0.0,0.0,0.0
benign_agreement,safety_violation,2,0.0,0.0,0.0
benign_agreement,waiting_cost,2,0.0,0.0,0.0
benign_agreement,intervention_cost,2,-0.5,-0.5,-0.5
benign_agreement,false_certification,2,0.0,0.0,0.0
labels_without_gating,regret,2,0.5,0.5,0.5
labels_without_gating,safety_violation,2,0.5,0.5,0.5
labels_without_gating,waiting_cost,2,0.0,0.0,0.0
labels_without_gating,intervention_cost,2,-0.5,-0.5,-0.5
labels_without_gating,false_certification,2,0.0,0.0,0.0
oracle_visible_state,regret,2,0.0,0.0,0.0
oracle_visible_state,safety_violation,2,0.0,0.0,0.0
oracle_visible_state,waiting_cost,2,0.0,0.0,0.0
oracle_visible_state,intervention_cost,2,-0.5,-0.5,-0.5
oracle_visible_state,false_certification,2,0.0,0.0,0.0
provenance_erased,regret,2,0.25,-0.23999999999999994,0.74
provenance_erased,safety_violation,2,0.0,0.0,0.0
provenance_erased,waiting_cost,2,0.25,-0.23999999999999994,0.74
provenance_erased,intervention_cost,2,0.25,-0.23999999999999994,0.74
provenance_erased,false_certification,2,0.0,0.0,0.0
random_label_placebo,regret,2,0.5,0.5,0.5
random_label_placebo,safety_violation,2,0.5,0.5,0.5
random_label_placebo,waiting_cost,2,0.0,0.0,0.0
random_label_placebo,intervention_cost,2,-0.5,-0.5,-0.5
random_label_placebo,false_certification,2,0.5,0.5,0.5
